Description,Wall Thickness,Part Number,Price
Intermetallic,30 (With Web),21.9,EVCEB-26INT,€337.00
Intermetallic,40,30.4,EVCEB-6INT,€421.00
Intermetallic,4,1.6,EVCEB-30INT,€263.00
Intermetallic,7,3.7,EVCEB-23INT,€227.00
Intermetallic,100,82.7,EVCEB-27INT,P.O.R.
Intermetallic,20,14.6,EVCEB-29INT,€247.00
Intermetallic,12,5.6,EVCEB-31INT,P.O.R.
Intermetallic,12,7.4,EVCEB-33INT,€230.00
Intermetallic,30,20.2,EVCEB-9INT,€363.00
Intermetallic,30,10.3,EVCEB-9MINT,€332.00
Intermetallic,40,30.2,EVCEB-8INT,P.O.R.
Intermetallic,4,2.1,EVCEB-22INT,€202.00
Intermetallic,7,4.4,EVCEB-4INT,€237.00
Intermetallic,15,8.2,EVCEB-13INT,€281.00
Intermetallic,25 (4 Pocket),17.1,EVCEB-16INT,€325.00
Intermetallic,25 (6 Pocket),16.3,EVCEB-25INT,€290.00
Intermetallic,30 (With Web),21.9,EVCEB-26INT,€337.00
Intermetallic,40,30.4,EVCEB-6INT,€421.00
Intermetallic,4,1.6,EVCEB-30INT,€263.00
Intermetallic,7,3.7,EVCEB-23INT,€227.00
Intermetallic,100,82.7,EVCEB-27INT,P.O.R.
Intermetallic,20,14.6,EVCEB-29INT,€247.00
Intermetallic,12,5.6,EVCEB-31INT,P.O.R.
Intermetallic,12,7.4,EVCEB-33INT,€230.00
Intermetallic,30,20.2,EVCEB-9INT,€363.00
Intermetallic,30,10.3,EVCEB-9MINT,€332.00
Intermetallic,40,30.2,EVCEB-8INT,P.O.R.
Molybdenum,4,2.1,EVCEB-22MO,€106.00
Molybdenum,7,4.4,EVCEB-4MO,€77.00
Molybdenum,15,8.2,EVCEB-13MO,€109.00
Molybdenum,25 (4 Pocket),12.8,EVCEB-16MMO,€155.00
Molybdenum,25 (6 Pocket),14.0,EVCEB-25MMO,€190.00
Molybdenum,30 (With Web),21.9,EVCEB-26MO,P.O.R.
Molybdenum,30 (Without Web),18.5,EVCEB-9MMO,€219.00
Molybdenum,40,17.0,EVCEB-6MMO,€200.00
Molybdenum,7,3.7,EVCEB-23MO,€117.00
Molybdenum,25 (6 Pocket),16.3,EVCEB-25MO,P.O.R.
Molybdenum,20,14.6,EVCEB-29MO,P.O.R.
Molybdenum,4,1.6,EVCEB-30MO,€137.00
Molybdenum,12,5.6,EVCEB-31MO,P.O.R.
Molybdenum,12,7.4,EVCEB-33MO,€140.00
Molybdenum,40,27.2,EVCEB-6MO,P.O.R.
Molybdenum,4,2.1,EVCEB-22MO,€106.00
Molybdenum,7,4.4,EVCEB-4MO,€77.00
Molybdenum,15,8.2,EVCEB-13MO,€109.00
Molybdenum,25 (4 Pocket),12.8,EVCEB-16MMO,€155.00
Molybdenum,25 (6 Pocket),14.0,EVCEB-25MMO,€190.00
Molybdenum,30 (With Web),21.9,EVCEB-26MO,P.O.R.
Molybdenum,30 (Without Web),18.5,EVCEB-9MMO,€219.00
Molybdenum,40,17.0,EVCEB-6MMO,€200.00
Molybdenum,7,3.7,EVCEB-23MO,€117.00
Molybdenum,25 (6 Pocket),16.3,EVCEB-25MO,P.O.R.
Molybdenum,20,14.6,EVCEB-29MO,P.O.R.
Molybdenum,4,1.6,EVCEB-30MO,€137.00
Molybdenum,12,5.6,EVCEB-31MO,P.O.R.
Molybdenum,12,7.4,EVCEB-33MO,€140.00
Molybdenum,40,27.2,EVCEB-6MO,P.O.R.
Tantalum,25 (4 Pocket),17.1,EVCEB-16TA,P.O.R.
Tantalum,4,2.1,EVCEB-22TA,P.O.R.
Tantalum,7,3.7,EVCEB-23TA,€325.00
Tantalum,25 (6 Pocket),16.3,EVCEB-25TA,P.O.R.
Tantalum,20,14.6,EVCEB-29TA,P.O.R.
Tantalum,4,1.6,EVCEB-30TA,P.O.R.
Tantalum,40,27.2,EVCEB-6TA,P.O.R.
Tantalum,7,4.4,EVCEB-4TA,€335.00
Tantalum,12,7.4,EVCEB-33TA,P.O.R.
Tantalum,35,24.1,EVCEB-32TA,P.O.R.
Tantalum,12,5.6,EVCEB-31TA,P.O.R.
Tantalum,15,8.2,EVCEB-13TA,€496.00
Tantalum,25 (4 Pocket),17.1,EVCEB-16TA,P.O.R.
Tantalum,4,2.1,EVCEB-22TA,P.O.R.
Tantalum,7,3.7,EVCEB-23TA,€325.00
Tantalum,25 (6 Pocket),16.3,EVCEB-25TA,P.O.R.
Tantalum,20,14.6,EVCEB-29TA,P.O.R.
Tantalum,4,1.6,EVCEB-30TA,P.O.R.
Tantalum,40,27.2,EVCEB-6TA,P.O.R.
Tantalum,7,4.4,EVCEB-4TA,€335.00
Tantalum,12,7.4,EVCEB-33TA,P.O.R.
Tantalum,35,24.1,EVCEB-32TA,P.O.R.
Tantalum,12,5.6,EVCEB-31TA,P.O.R.
Tantalum,15,8.2,EVCEB-13TA,€496.00
Tungsten,4,2.1,EVCEB-22W,€141.00
Tungsten,7,4.4,EVCEB-4W,€186.00
Tungsten,15,8.2,EVCEB-13W,€190.00
Tungsten,25 (4 Pocket),12.8,EVCEB-16MW,€278.00
Tungsten,25 (6 Pocket),14.0,EVCEB-25MW,€319.00
Tungsten,30 (With Web),21.9,EVCEB-26W,€229.00
Tungsten,30 (Without Web),18.5,EVCEB-9MW,€284.00
Tungsten,40,17.0,EVCEB-6MW,€306.00
Tungsten,40,30.4,EVCEB-6W,P.O.R.
Tungsten,6,2.4,EVCEB-5W,P.O.R.
Tungsten,12,7.4,EVCEB-33W,P.O.R.
Tungsten,35,24.1,EVCEB-32W,P.O.R.
Tungsten,12,5.6,EVCEB-31W,€171.00
Tungsten,4,1.6,EVCEB-30W,P.O.R.
Tungsten,20,14.6,EVCEB-29W,€266.00
