Name,Material,Purity,Diameter,Lenght,Price,Rest
ALUMINUM WIRE,Aluminum,99.999% PURE,N/A,N/A,€175.00, Al    50 FEET ON SPOOL   ANNEALED 1.0 mm (0.040") Dia. 50 ft. 99.999% EVMAL5004050FT
ALUMINUM WIRE,Aluminum,99.999% PURE,N/A,N/A,€5.00, Al    SOLD PER FOOT  5 FOOT MINIMUM ORDER 1.0 mm (0.040") Dia. 1 ft. 99.999% EVMAL50040FT
ALUMINUM WIRE,Aluminum,99.99% PURE,N/A,N/A,P.O.R., Al    1 POUND ON SPOOL 1.5 mm (0.060") Dia. 99.99% EVMAL40060
ALUMINUM WIRE,Aluminum,99.999% PURE,0.062" diameter,1 pound spool,€869.00, Al   1.5 mm (0.060") Dia. 99.999% EVMAL50.062
ALUMINUM WIRE,Aluminum,99.999% PURE,2mm diameter,10 meters long,P.O.R., Al    +/-0.075MM DIAMETER 2.0 mm (0.080") Dia. 10 m 99.999% EVMAL502MM+
N/A,Aluminum,99.88% PURE,N/A,N/A,P.O.R.,ALUMINUM CANE  Al    24 LBS/ BOX 222–232 mg 24-lb. Box 99.88% — EVMAL1188227
N/A,Aluminum,99.88% PURE,N/A,N/A,P.O.R.,ALUMINUM CANE  Al   EVAPORANT   SOLD PER BOX  PACKAGED IN 24 POUND BOX 305 mg 24-lb. Box 99.88% — EVMAL1188305
N/A,Aluminum,99.88% PURE,N/A,N/A,P.O.R.,ALUMINUM CANE MATERIAL  Al    SOLD PER BOX  PACKAGED IN 24 POUND BOX 325 mg 24-lb. Box 99.88% — EVMAL1188325
N/A,Aluminum,99.88% PURE,N/A,N/A,P.O.R.,ALUMINUM CANE  Al    SOLD PER BOX  PACKAGED IN 24 POUND BOX 370–380 mg 24-lb. Box 99.88% — EVMAL1188375
N/A,Aluminum,99.88% PURE,N/A,N/A,P.O.R.,ALUMINUM CANE  Al    SOLD PER BOX  PACKAGED IN 24 POUND BOX 420–430 mg 24-lb. Box 99.88% — EVMAL1188425
N/A,Aluminum,99.88% PURE,N/A,N/A,€154.00,ALUMINUM CANE  Al    SOLD PER BOX  PACKAGED IN 24 POUND BOX 465–475 mg 24-lb. Box 99.88% EVMAL1188470
