Material,Name,Formula,Purity,Diameter mm,Diameter ",Thickness mm,Thickness ",Price,Rest
2.00" Dia. x 0.250" Thick,N/A,N/A,N/A,50.8,2.00",6.35,0.250",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINFEO2A4,N/A,EJTINFEO2A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Iron Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM IRON OXIDE TARGET,INDIUM IRON OXIDE TARGET,,99.9% PURE,0.254,0.010",N/A,N/A,N/A,InFe2O4     BEST EFFORTS
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINFEO3A2,N/A,EJTINFEO3A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Iron Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM IRON OXIDE TARGET,INDIUM IRON OXIDE TARGET,,99.9% PURE,0.254,0.010",N/A,N/A,N/A,InFe2O4     BEST EFFORTS
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINFEO3A4,N/A,EJTINFEO3A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Iron Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM IRON OXIDE TARGET,INDIUM IRON OXIDE TARGET,,99.9% PURE,0.254,0.010",N/A,N/A,N/A,InFe2O4     BEST EFFORTS
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINFEO4A2,N/A,EJTINFEO4A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Iron Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM IRON OXIDE TARGET,INDIUM IRON OXIDE TARGET,,99.9% PURE,0.254,0.010",N/A,N/A,N/A,InFe2O4     BEST EFFORTS
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINFEO4A4,N/A,EJTINFEO4A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Molybdenum Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM MOLYBDENUM OXIDE TARGET,INDIUM MOLYBDENUM OXIDE TARGET,,In2O3/Mo 98/2 WT%,0.254,0.010",N/A,N/A,N/A, 99.9% PURE
2.00" Dia. x 0.125" Thick,N/A,N/A,N/A,50.8,2.00",3.175,0.125",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINMOO302A2,N/A,EJTINMOO302A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Molybdenum Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM MOLYBDENUM OXIDE TARGET,INDIUM MOLYBDENUM OXIDE TARGET,,In2O3/Mo 98/2 WT%,0.254,0.010",N/A,N/A,N/A, 99.9% PURE
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINMOO3A2,N/A,EJTINMOO3A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE TARGET,INDIUM OXIDE TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In2O3
1.00" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINOX401A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€252.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€252.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE TARGET,INDIUM OXIDE TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In2O3
1.00" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINOX401A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE TARGET,INDIUM OXIDE TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In2O3
2.00" Dia. x 0.125" Thick,N/A,N/A,N/A,50.8,2.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINOX402A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€537.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€537.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE TARGET,INDIUM OXIDE TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In2O3
2.00" Dia. x 0.250" Thick,N/A,N/A,N/A,50.8,2.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINOX402A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE TARGET,INDIUM OXIDE TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In2O3
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINOX403A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€855.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€855.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE TARGET,INDIUM OXIDE TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In2O3
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINOX403A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE TARGET,INDIUM OXIDE TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In2O3     HOT-PRESSED
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINOX404A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE TARGET,INDIUM OXIDE TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In2O3     HOT-PRESSED
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINOX404A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
1.00" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX401A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€329.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€329.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
1.00" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX401A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
2.00" Dia. x 0.125" Thick,N/A,N/A,N/A,50.8,2.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX402A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€307.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€307.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
2.00" Dia. x 0.250" Thick,N/A,N/A,N/A,50.8,2.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX402A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€394.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€394.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX403A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€520.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€520.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX403A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€594.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€594.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX404A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€772.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€772.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX404A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€851.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€851.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,In2O3/SnO2 90/10 WT%,0.254,0.010",N/A,N/A,N/A, 99.99% PURE
6.00" Dia. x 0.125" Thick,N/A,N/A,N/A,152.39999999999998,6.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX406A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,90/10 WT%,0.254,0.010",N/A,N/A,N/A,In2O3/SnO2   99.99% PURE
6.00" Dia. x 0.250" Thick,N/A,N/A,N/A,152.39999999999998,6.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX406A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium Tin Oxide,N/A,ITO,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM OXIDE/TIN OXIDE TARGET,INDIUM OXIDE/TIN OXIDE TARGET,,90/10 WT%,0.254,0.010",N/A,N/A,N/A,In2O3/SnO2   99.99% PURE
8.00" Dia. x 0.250" Thick,N/A,N/A,N/A,203.2,8.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTITOX408A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium,N/A,Indium,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM TARGET,INDIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In
1.00" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINXX401A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€152.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€152.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium,N/A,Indium,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM TARGET,INDIUM TARGET,,99.998%-99.999% PURE,0.254,0.010",N/A,N/A,N/A,In
1.00" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.00",3.175,0.125",N/A,
99.998-99.999%,N/A,N/A,99.998-99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINXX501A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€237.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€237.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium,N/A,Indium,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM TARGET,INDIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,In
1.00" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINXX401A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€185.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€185.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Indium,N/A,Indium,N/A,N/A,N/A,N/A,N/A,N/A,
INDIUM TARGET,INDIUM TARGET,,99.998%-99.999% PURE,0.254,0.010",N/A,N/A,N/A,In
1.00" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.00",6.35,0.250",N/A,
99.998-99.999%,N/A,N/A,99.998-99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTINXX501A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
